Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,143000,1,3000,2.14,141900,156000,140300,308431,45446766900,1566032754000,10951278,KSQ
491000,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,62200,1,3200,5.42,58800,64500,56500,1553063,94106181250,1535201180200,24681691,KSQ
077970,KR7077970002,STX엔진,KOSPI,,37900,1,900,2.43,37000,38650,37000,500892,19066599375,1521611587700,40148063,STK
007810,KR7007810005,코리아써키트,KOSPI,,63600,2,-300,-0.47,63500,65000,62100,263352,16732855500,1502279763600,23620751,STK
007340,KR7007340003,DN오토모티브,KOSPI,,25600,1,150,0.59,25700,26600,25250,172068,4433865775,1497878144000,58510865,STK
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,31650,1,300,0.96,31600,31750,30900,402369,12620261975,1496042359650,47268321,KSQ
003540,KR7003540002,대신증권,KOSPI,,29400,1,1900,6.91,27900,29900,27850,644561,18737091750,1492737960000,50773400,STK
000500,KR7000500009,가온전선,KOSPI,,90100,1,1500,1.69,89100,92500,87700,54661,4948079500,1490534661500,16543115,STK
323280,KR7323280008,태성,KOSDAQ,중견기업부,48850,1,450,0.93,48950,49100,46800,531275,25594879300,1489960660500,30500730,KSQ
060370,KR7060370004,LS마린솔루션,KOSDAQ,우량기업부,28000,1,700,2.56,27150,28100,27050,241216,6698719025,1462687912000,52238854,KSQ
035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,65100,1,800,1.24,64300,65200,63500,87856,5669423150,1427587925400,21929154,KSQ
290650,KR7290650001,엘앤씨바이오,KOSDAQ,우량기업부,57000,1,3000,5.56,53500,57100,52800,492987,27408764200,1415997591000,24842063,KSQ
348370,KR7348370008,엔켐,KOSDAQ,중견기업부,64800,2,-400,-0.61,67900,67900,62700,359522,23132322600,1415888812800,21850136,KSQ
001120,KR7001120005,LX인터내셔널,KOSPI,,36150,1,300,0.84,35850,36400,35600,102296,3702029675,1401174000000,38760000,STK
348340,KR7348340001,뉴로메카,KOSDAQ,기술성장기업부,121700,0,0,0.0,0,0,0,0,0,1395837054700,11469491,KSQ
195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,우량기업부,49250,1,1300,2.71,47900,49300,47800,274410,13401824500,1395247131750,28329891,KSQ
101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,65300,1,100,0.15,65500,66500,64100,307968,20024750300,1393167598700,21334879,KSQ
